編號,資料來源,資料名稱,我們的建議分類,主要欄位,分類及編號,資料集描述,主要欄位說明
362,臺北市交通管制工程處,臺北市交通管制工程處無障礙設施設置資料,95,行政區、路口名稱,交通及通訊,臺北市交通管制工程處盲人音響號誌設置路口,行政區、路口名稱
363,臺北市政府勞動局,臺北市工會聯合組織名冊,13,"id:序號；
name:工會聯合組織名稱；
address:會址；
telephone：電話。",求職及就業,提供臺北市工會聯合組織名稱、會址、電話。,"id:序號；
name:工會聯合組織名稱；
address:會址；
telephone：電話。"
364,臺北市政府工務局水利工程處,臺北市河濱廁所,4,位置描述、類型,休閒旅遊,"28座河濱公園廁所位置,WGS84座標",位置描述、類型
365,臺北市政府環境保護局,臺北市飲用水檢驗測定機構,13,"許可字號、檢驗機構名稱、許可期限、檢驗室名稱、檢驗室地址、電話、傳真				
",公共資訊,取得中央主管機關核發許可證之環境檢驗測定機構,"許可字號、檢驗機構名稱、許可期限、檢驗室名稱、檢驗室地址、電話、傳真				
"
366,臺北市政府觀光傳播局,104年1月到12月臺北市旅遊服務中心服務人次統計表,4,"月份,服務人次總計
",休閒旅遊,104年1月到12月臺北市旅遊服務中心服務人次統計表,"月份,服務人次總計
"
367,臺北市政府觀光傳播局,102年1月至12月主要觀光景點遊客數統計,4,上層統計類別、統計項目、統計年月、數量,休閒旅遊,102年1月至12月主要觀光景點遊客數統計 ,上層統計類別、統計項目、統計年月、數量
368,臺北市政府觀光傳播局,104年1月至12月主要觀光景點遊客數統計,4,"遊憩據點名稱, 總計",休閒旅遊,104年1月至12月主要觀光景點遊客數統計,"遊憩據點名稱, 總計"
369,臺北市停車管理工程處,臺北市身心障礙停車格,95,停車位格式、區域、路段,公共資訊,臺北市身心障礙停車格,停車位格式、區域、路段
370,臺北市停車管理工程處,臺北市公有路外停車場無障礙設施設置情形,95,計有編號、行政區、停車場名稱、地址、身心障礙汽車格位、身心障礙機車格位、無障礙電梯、無障礙廁所、無障礙樓梯扶手等9欄位。,公共資訊,臺北市公有路外停車場無障礙設施設置情形,計有編號、行政區、停車場名稱、地址、身心障礙汽車格位、身心障礙機車格位、無障礙電梯、無障礙廁所、無障礙樓梯扶手等9欄位。
371,臺北市政府環境保護局,臺北市木柵垃圾焚化廠營運管理及環境品質監測報告,5,內容摘要、焚化廠營運管理、污染防制及監測、敦親睦鄰與回饋設施及景觀維護、結論與建議及其他事項,公共資訊,"本資料集主要提供木柵垃圾焚化廠焚化廠營運管理(包括焚化爐操作、垃圾進廠管理、飛灰與底渣清運、處理及作業環境安全衛生管理)
污染防治及監測(包括空氣污染防治、水污染防治、噪音管制、病媒防治及其他委外檢測項目)、敦親睦鄰與回饋設施及景觀維護等相關資料
",內容摘要、焚化廠營運管理、污染防制及監測、敦親睦鄰與回饋設施及景觀維護、結論與建議及其他事項
372,臺北市政府觀光傳播局,103年1月至12月主要觀光景點遊客數統計,4,上層統計類別、統計項目、統計年月、數量,休閒旅遊,103年1月至12月主要觀光景點遊客數統計,上層統計類別、統計項目、統計年月、數量
373,臺北市政府工務局水利工程處,臺北市易積水地區,16,行政區、地址、易積水地區範圍,生活安全及品質,全市易積水地區範圍、圖層空間參考系統座標是TWD97-TM2(zone121)座標,行政區、地址、易積水地區範圍
374,臺北市政府環境保護局,臺北市土壤及地下水污染控制場址,11,場址編號(SiteId)、場址名稱(SiteName)、公告管制文號(AnnoNo)、解除文號(DeAnnoNo)、縣市(County)、場址類型(SiteType)、場址使用狀態(SiteUse)、污染物質(Pollutant)、場址地址(PollutantAddress)、二度分帶X(TWD97) (TWD97TM2X)、二度分帶Y(TWD97) (TWD97TM2Y)、場址管制類型(ControlType)、公告管制日期(AnnoDate)、公告解除日期(DeAnnoDate)、場址面積(SiteAreaSize)、改善情形(Improve)、地段地號(LandNo),公共資訊,提供民眾本市土壤及地下水污染控制場址相關資訊,場址編號(SiteId)、場址名稱(SiteName)、公告管制文號(AnnoNo)、解除文號(DeAnnoNo)、縣市(County)、場址類型(SiteType)、場址使用狀態(SiteUse)、污染物質(Pollutant)、場址地址(PollutantAddress)、二度分帶X(TWD97) (TWD97TM2X)、二度分帶Y(TWD97) (TWD97TM2Y)、場址管制類型(ControlType)、公告管制日期(AnnoDate)、公告解除日期(DeAnnoDate)、場址面積(SiteAreaSize)、改善情形(Improve)、地段地號(LandNo)
375,臺北市政府環境保護局,臺北市環保局廢棄汽機車查報拖吊應用系統,102,檢舉疑似廢車/廢車案件查詢/相關書表及檔案下載/已拖吊廢車公告/保管場資訊/常見問題,公共資訊,臺北市環保局廢棄汽機車查報拖吊應用系統,檢舉疑似廢車/廢車案件查詢/相關書表及檔案下載/已拖吊廢車公告/保管場資訊/常見問題
376,臺北市交通管制工程處,臺北市調撥車道,102,路名、方向,交通及通訊,調撥車道資料,路名、方向
377,臺北市交通管制工程處,臺北市行人專用時相路口,102,路口編號、十字路口名稱、座標、啟用時段,交通及通訊,行人專用時相路口資料,路口編號、十字路口名稱、座標、啟用時段
378,臺北市交通管制工程處,臺北市機車優先道,102,路名、方向,交通及通訊,機車優先道資料,路名、方向
379,臺北大眾捷運股份有限公司,大臺北地區捷運車站出入口座標,101,出口入名稱、出入口編號、出入口座標,交通及通訊,大臺北地區捷運車站出入口座標,出口入名稱、出入口編號、出入口座標
380,臺北大眾捷運股份有限公司,臺北捷運車站無障礙電梯位置,95,車站名稱、電梯位置,交通及通訊,車站無障礙電梯位置,車站名稱、電梯位置
381,臺北市政府財政局,臺北市政府近5年歲入預算結構表,12,年度、金額、成長率,公共資訊,"1.主計處網站公告00年度臺北市政府地方總預算資料。
2.依前開地方總預算資料編製臺北市政府歲入預算結構表。
",年度、金額、成長率
382,臺北市政府財政局,臺北市103-104年度徵起之國稅、縣市稅分成數額表,12,"全國實徵淨額－按地區別及稅目別分					
",公共資訊,"1.財政部財政統計資料庫公告00年度00年度徵起之國稅、縣市稅分成數額資料。
2.依前開資料庫資料編製臺北市政府徵起之國稅、縣市稅分成數額表。","全國實徵淨額－按地區別及稅目別分					
"
383,臺北市政府人事處,臺北市暑期工讀案件,20,機關名稱	103年分配人數   104年需求人數   工作項目   104年分配情形,公共資訊,"104年度大專校院學生暑期工讀需求表
臺北市政府104年度大專校院學生暑期工讀需求分配表",機關名稱	103年分配人數   104年需求人數   工作項目   104年分配情形
384,臺北市政府環境保護局,臺北市空品淨化區資訊,16,基地名稱、地址,公共資訊,臺北市空氣品質淨化區位置等相關資訊,基地名稱、地址
385,臺北市政府捷運工程局,捷運信箱統計,101,"案件類別  件數 
",交通及通訊,捷運信箱統計,"案件類別  件數 
"
386,臺北市政府人事處,員工休閒隊社專區,20,本府員工休閒隊社簡介,公共資訊,本府員工休閒隊社簡介,本府員工休閒隊社簡介
387,臺北市政府捷運工程局,土地開發權益分配結果彙整,8,捷運用地土地開發案權益分配相關資料彙整表,交通及通訊,捷運用地土地開發案權益分配相關資料彙整表,捷運用地土地開發案權益分配相關資料彙整表
388,臺北市政府人事處,臺北市-政府行政機關辦公日曆表,12,date(日期)、name(紀念日節日名稱)、isHoliday(是否放假)、holidayCategory(放假類別)、description(放假說明),公共資訊,政府行政機關辦公日曆表,date(日期)、name(紀念日節日名稱)、isHoliday(是否放假)、holidayCategory(放假類別)、description(放假說明)
389,臺北市政府人事處,天然災害停止上班及上課情形-行政院人事行政總處全球資訊網,16,縣市名稱、是否停止上班上課情形,公共資訊,天然災害停止上班及上課情形-行政院人事行政總處全球資訊網,縣市名稱、是否停止上班上課情形
390,臺北市政府人事處,臺北市-歷次天然災害停止上班上課訊息,16,年、天然災害名稱、臺北市停止上班上課情形、備註,公共資訊,臺北市歷次天然災害停止上班上課訊息,年、天然災害名稱、臺北市停止上班上課情形、備註
391,臺北市政府捷運工程局,捷運工程局品質管理系統QSOP文件清單,8,"編號
制定單位 
核定日期 
版次
項目名稱
",交通及通訊,捷運工程局品質管理系統程序書文件清單,"編號
制定單位 
核定日期 
版次
項目名稱
"
392,臺北市政府捷運工程局,捷運工程徵收土地清冊,8,編號、土地標示、用地面積、土地所有權人或管理人、持分、擬徵收私有持分土地面積、非都市土地使用編訂種類、備考,交通及通訊,捷運工程徵收土地清冊,編號、土地標示、用地面積、土地所有權人或管理人、持分、擬徵收私有持分土地面積、非都市土地使用編訂種類、備考
393,臺北市政府捷運工程局,捷運規劃中路網說明,8,臺北都會區大眾捷運系統規劃中路線說明及辦理情形,交通及通訊,臺北都會區大眾捷運系統規劃中路線說明及辦理情形,臺北都會區大眾捷運系統規劃中路線說明及辦理情形
394,臺北市政府捷運工程局,捷運工程徵收地上權土地清冊,8,編號、土地標示、用地面積、土地所有權人或管理人、持分、擬徵收私有持分土地面積、非都市土地使用編訂種類、備考,交通及通訊,捷運工程徵收地上權土地清冊,編號、土地標示、用地面積、土地所有權人或管理人、持分、擬徵收私有持分土地面積、非都市土地使用編訂種類、備考
395,臺北市政府民政局,臺北市各區里辦公處地址及電話連結,16,各區里辦公處地址及電話連結,公共資訊,彙整臺北市各區里辦公處地址及電話資訊,各區里辦公處地址及電話連結
396,臺北市政府警察局,臺北市少年輔導委員會104年工作年報,14,工作年報,公共資訊,展現本會年度工作成果暨強化少年犯罪防治宣導,工作年報
397,臺北市政府主計處,104年度臺北市地方總決算附屬單位決算及綜計表,12,報告書,公共資訊,104年度臺北市地方總決算附屬單位決算及綜計表,報告書
398,臺北市政府資訊局,世大運-志工管理整合平台招募資訊,20,"NEWS_MESSAGE_ID	(int)	由系統產生的唯一值(Key)
TITLE	nvarchar(max)	標題
CONTENTS	nvarchar(max)	內容
OPENDATE	datetime	消息顯示時間(上版日期)
CLOSEDATE	datetime	消息結束時間(下版日期)
MODIFYDATE	datetime	最後修改日期
ENABLE	bit	停用/啟用
TYPE	nvarchar(50)	公告類型
關聯最新消息之分類 - NEWS_CLASS
MESSAGE_TYPE	varchar(10)	公告類型   
Message-訊息發布  
Sign-需要報名
PERSONS_LIMIT	int	是否有報名人數限制，0沒有限制，１有限制
PERSONS_LIMIT_NUMBER	int	報名人數上限
PERSONS_LIMIT_CANDIDATE_NUMBER	int	候補名額人數
ORDER_START_DATE	datetime	報名開始日期
ORDER_END_DATE	datetime	報名截止日期
MESSAGE_RANGE	bit	發佈範圍  0:不限制  1:限制
",公共資訊,2017世大運志工招募資訊,"NEWS_MESSAGE_ID	(int)	由系統產生的唯一值(Key)
TITLE	nvarchar(max)	標題
CONTENTS	nvarchar(max)	內容
OPENDATE	datetime	消息顯示時間(上版日期)
CLOSEDATE	datetime	消息結束時間(下版日期)
MODIFYDATE	datetime	最後修改日期
ENABLE	bit	停用/啟用
TYPE	nvarchar(50)	公告類型
關聯最新消息之分類 - NEWS_CLASS
MESSAGE_TYPE	varchar(10)	公告類型   
Message-訊息發布  
Sign-需要報名
PERSONS_LIMIT	int	是否有報名人數限制，0沒有限制，１有限制
PERSONS_LIMIT_NUMBER	int	報名人數上限
PERSONS_LIMIT_CANDIDATE_NUMBER	int	候補名額人數
ORDER_START_DATE	datetime	報名開始日期
ORDER_END_DATE	datetime	報名截止日期
MESSAGE_RANGE	bit	發佈範圍  0:不限制  1:限制
"
399,臺北市政府工務局公園路燈工程管理處,臺北市公園設施,4, ParkName(設施所在公園名稱)、facility_name(設施名稱) ,休閒旅遊,臺北市公園裡各項設施說明, ParkName(設施所在公園名稱)、facility_name(設施名稱) 
400,臺北市政府資訊局,熱門業務電話資料,21,機關名稱、科室名稱、分機號碼、業務內容,公共資訊,"民眾直播本府各機關超過一定次數(5,000次)以上的熱門業務電話",機關名稱、科室名稱、分機號碼、業務內容
401,臺北市政府衛生局,臺北市產後護理之家,92,標題、類別、連絡電話、顯示用地址、系統辨識用地址,就醫,臺北市產後護理之家,標題、類別、連絡電話、顯示用地址、系統辨識用地址
402,臺北市政府衛生局,臺北市丙型干擾素血液測驗(IGRA)合作醫療院所名單,3,機構名稱、地址、電話,公共資訊,臺北市丙型干擾素血液測驗(IGRA)合作醫療院所名單,機構名稱、地址、電話
403,臺北市政府衛生局,臺北市居家廢棄藥物檢收站,16,"name(檢收站名稱), address_for_diaplay(顯示用地址), address_for_system(系統辨識用地址)telephone(電話) ",公共資訊,居家廢棄藥物檢收站,"name(檢收站名稱), address_for_diaplay(顯示用地址), address_for_system(系統辨識用地址)telephone(電話) "
404,臺北市公共運輸處,公車路線線型 shp 格式,101,"""附注
格式為全部路線 shp 壓縮檔
範例：
http：//imp.5284.com.tw：3621/TaipeiBusService/DownLoadShp.aspx
""	
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"""附注
格式為全部路線 shp 壓縮檔
範例：
http：//imp.5284.com.tw：3621/TaipeiBusService/DownLoadShp.aspx
""	
"
405,臺北市公共運輸處,公車路線線型開放格式,101,"Id	路線 ID
Name	中文名
Ename	英文名
Rtime	修改日期
Geom	路線線型 WGS84 座標系統 預設線型格式為 WKT
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"Id	路線 ID
Name	中文名
Ename	英文名
Rtime	修改日期
Geom	路線線型 WGS84 座標系統 預設線型格式為 WKT
"
406,臺北市公共運輸處,公車動態資訊(總索引),101,"PathDetail	附屬路線與路線對應資訊
CarInfo	車輛基本資訊
OrgPathAttribute	路線、營業站對應
PROVIDER	業者營運基本資料
ROUTE	路線
ROUTEGeom	公車路線線型開放格式
DownloadShp	公車路線線型 shp 格式
TimeTable	預定班表資訊
SemiTimeTable	機動班次時刻表
BUSDATA	定時車機資訊
BUSEVENT	定點車機資訊
IStopPath	智慧型站牌所屬路線
ISTOP	智慧型站牌
STOP	站牌
CarUnusual	車機異常資訊
StopLocation	站位資訊
EstiamteTime          預估到站時間
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"PathDetail	附屬路線與路線對應資訊
CarInfo	車輛基本資訊
OrgPathAttribute	路線、營業站對應
PROVIDER	業者營運基本資料
ROUTE	路線
ROUTEGeom	公車路線線型開放格式
DownloadShp	公車路線線型 shp 格式
TimeTable	預定班表資訊
SemiTimeTable	機動班次時刻表
BUSDATA	定時車機資訊
BUSEVENT	定點車機資訊
IStopPath	智慧型站牌所屬路線
ISTOP	智慧型站牌
STOP	站牌
CarUnusual	車機異常資訊
StopLocation	站位資訊
EstiamteTime          預估到站時間
"
407,臺北市公共運輸處,智慧型站牌,101,"Id	主索引
SimCardNum	SIM 卡編號
DeviceId	智慧型站牌編號(站牌車機號碼 15 碼)
StopCname	站牌中文名稱
StopEname	站牌英文名稱
QueryCode	站牌查詢代碼(4 碼)
Provider	""站牌建置廠商者
區分期別（1：1 期 2：2 期 3：3 期）""
StopId	站牌編號
Longitude	經度 (WGS84，以度為單位)
Latitude	緯度 (WGS84，以度為單位)
Address	智慧型站牌地址
TypeId	站牌型別編號
FirmwarfeVersion	韌體版本 (向站牌車機詢問)
BootTime	預設開機時間
ShutdownTime	預設關機時間
MessageGroupId	訊息群組編號
DefaultMessage	預設訊息
BootMessage	開機訊息
LanguageMode	""多語系顯示模式
0：關閉英文
1：開啟英文""
DisplaySpeed	顯示速度 0~9
DistanceFunctionMode	""站距功能開關
0：關閉
1：開啟""
IsShowQcode	""顯示站牌查詢代碼開關
0：關閉
1：開啟""
IsShowStopName	""顯示站牌名稱開關
0：關閉
1：開啟""
IsShowDirectionLocation	""顯示方向及車輛所在位置開關
0：關閉
1：開啟""
IsShowTrafficStatus	是否顯示行車狀況 (0：不顯示 / 1：顯示)
IsShowArrivingInfo	是否顯示進站中資訊 (0：不顯示 / 1：顯示)
VcId	通訊伺服器 ID
BuildPeriod	建置時間，分為 1：1 期、2：2 期、3：3 期、9：非動態資料、10：北縣
Memo	備註
Ctime	建立時間
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"Id	主索引
SimCardNum	SIM 卡編號
DeviceId	智慧型站牌編號(站牌車機號碼 15 碼)
StopCname	站牌中文名稱
StopEname	站牌英文名稱
QueryCode	站牌查詢代碼(4 碼)
Provider	""站牌建置廠商者
區分期別（1：1 期 2：2 期 3：3 期）""
StopId	站牌編號
Longitude	經度 (WGS84，以度為單位)
Latitude	緯度 (WGS84，以度為單位)
Address	智慧型站牌地址
TypeId	站牌型別編號
FirmwarfeVersion	韌體版本 (向站牌車機詢問)
BootTime	預設開機時間
ShutdownTime	預設關機時間
MessageGroupId	訊息群組編號
DefaultMessage	預設訊息
BootMessage	開機訊息
LanguageMode	""多語系顯示模式
0：關閉英文
1：開啟英文""
DisplaySpeed	顯示速度 0~9
DistanceFunctionMode	""站距功能開關
0：關閉
1：開啟""
IsShowQcode	""顯示站牌查詢代碼開關
0：關閉
1：開啟""
IsShowStopName	""顯示站牌名稱開關
0：關閉
1：開啟""
IsShowDirectionLocation	""顯示方向及車輛所在位置開關
0：關閉
1：開啟""
IsShowTrafficStatus	是否顯示行車狀況 (0：不顯示 / 1：顯示)
IsShowArrivingInfo	是否顯示進站中資訊 (0：不顯示 / 1：顯示)
VcId	通訊伺服器 ID
BuildPeriod	建置時間，分為 1：1 期、2：2 期、3：3 期、9：非動態資料、10：北縣
Memo	備註
Ctime	建立時間
"
408,臺北市公共運輸處,站牌,101,"Id	站牌代碼
routeId	所屬路線代碼 (主路線 ID)
nameZh	中文名稱
nameEn	英文名稱
seqNo	於路線上的順序
pgp	上下車站別 （-1：可下車、0：可上下車、1：可上車）
goBack	去返程 （0：去程 / 1：返程 / 2：未知）
longitude	經度
latitude	緯度
address	地址
stopLocationId	站位 ID
showLon	顯示用經度
showLat	顯示用緯度
vector	向量角：0~359，預設為空白
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"Id	站牌代碼
routeId	所屬路線代碼 (主路線 ID)
nameZh	中文名稱
nameEn	英文名稱
seqNo	於路線上的順序
pgp	上下車站別 （-1：可下車、0：可上下車、1：可上車）
goBack	去返程 （0：去程 / 1：返程 / 2：未知）
longitude	經度
latitude	緯度
address	地址
stopLocationId	站位 ID
showLon	顯示用經度
showLat	顯示用緯度
vector	向量角：0~359，預設為空白
"
409,臺北市公共運輸處,路線,101,"Id	路線代碼
providerId	業者代碼
providerName	業者中文名稱
nameZh	中文名稱
nameEn	英文名稱
pathAttributeId	所屬附屬路線 ID
pathAttributeName	所屬附屬路線中文名稱
pathAttributeEname	所屬附屬路線英文名稱
buildPeriod	建置時間，分為 1：1 期、2：2 期、3：3 期、9：非動態資料、10：北縣
departureZh	'去程第 1 站'  起站中文名稱
departureEn	'去程第 1 站'  起站英文名稱
destinationZh	'回程第 1 站'  訖站中文名稱
destinationEn	'回程第 1 站'  訖站英文名稱
realSequence	核定總班次
distance	總往返里程(公里/全程)
goFirstBusTime	站牌顯示時使用，去程第一班發車時間(hhmm)
backFirstBusTime	站牌顯示時使用，回程第一班發車時間(hhmm)
goLastBusTime	站牌顯示時使用，去程最後一班發車時間(hhmm)
backLastBusTime	站牌顯示時使用，回程最後一班發車時間(hhmm)
peakHeadway	站牌顯示時使用，尖峰時段發車間隔(hhmm OR mm)
offPeakHeadway	站牌顯示時使用，離峰時段發車間隔(hhmm OR mm)
busTimeDesc	平日頭末班描述
holidayGoFirstBusTime	假日站牌顯示時使用，去程第一班發車時間(HHmm)
holidayBackFirstBusTime	假日站牌顯示時使用，回程第一班發車時間(HHmm)
holidayGoLastBusTime	假日站牌顯示時使用，去程最後一班發車時間(HHmm)
holidayBackLastBusTime	假日站牌顯示時使用，回程最後一班發車時間(HHmm)
holidayBusTimeDesc	假日頭末班描述
headwayDesc	平日發車間距描述
holidayPeakHeadway	假日站牌顯示時使用，尖峰時段發車間隔(mmmm OR mm)
holidayOffPeakHeadway	假日站牌顯示時使用，離峰時段發車間隔(mmmm OR mm)
holidayHeadwayDesc	假日發車間距描述
segmentBufferZh	分段緩衝區(中文)
segmentBufferEn	分段緩衝區(英文)
ticketPriceDescriptionZh	票價描述(中文)
ticketPriceDescriptionEn	票價描述(英文)
Route roadMapUrl	路線圖 URL
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"Id	路線代碼
providerId	業者代碼
providerName	業者中文名稱
nameZh	中文名稱
nameEn	英文名稱
pathAttributeId	所屬附屬路線 ID
pathAttributeName	所屬附屬路線中文名稱
pathAttributeEname	所屬附屬路線英文名稱
buildPeriod	建置時間，分為 1：1 期、2：2 期、3：3 期、9：非動態資料、10：北縣
departureZh	'去程第 1 站'  起站中文名稱
departureEn	'去程第 1 站'  起站英文名稱
destinationZh	'回程第 1 站'  訖站中文名稱
destinationEn	'回程第 1 站'  訖站英文名稱
realSequence	核定總班次
distance	總往返里程(公里/全程)
goFirstBusTime	站牌顯示時使用，去程第一班發車時間(hhmm)
backFirstBusTime	站牌顯示時使用，回程第一班發車時間(hhmm)
goLastBusTime	站牌顯示時使用，去程最後一班發車時間(hhmm)
backLastBusTime	站牌顯示時使用，回程最後一班發車時間(hhmm)
peakHeadway	站牌顯示時使用，尖峰時段發車間隔(hhmm OR mm)
offPeakHeadway	站牌顯示時使用，離峰時段發車間隔(hhmm OR mm)
busTimeDesc	平日頭末班描述
holidayGoFirstBusTime	假日站牌顯示時使用，去程第一班發車時間(HHmm)
holidayBackFirstBusTime	假日站牌顯示時使用，回程第一班發車時間(HHmm)
holidayGoLastBusTime	假日站牌顯示時使用，去程最後一班發車時間(HHmm)
holidayBackLastBusTime	假日站牌顯示時使用，回程最後一班發車時間(HHmm)
holidayBusTimeDesc	假日頭末班描述
headwayDesc	平日發車間距描述
holidayPeakHeadway	假日站牌顯示時使用，尖峰時段發車間隔(mmmm OR mm)
holidayOffPeakHeadway	假日站牌顯示時使用，離峰時段發車間隔(mmmm OR mm)
holidayHeadwayDesc	假日發車間距描述
segmentBufferZh	分段緩衝區(中文)
segmentBufferEn	分段緩衝區(英文)
ticketPriceDescriptionZh	票價描述(中文)
ticketPriceDescriptionEn	票價描述(英文)
Route roadMapUrl	路線圖 URL
"
410,臺北市公共運輸處,業者營運基本資料,13,"type	營運種類 （0：市區公車、1：公路客運、2：捷運、3：火車、4  ：航空客運、5：船運）
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"type	營運種類 （0：市區公車、1：公路客運、2：捷運、3：火車、4  ：航空客運、5：船運）
"
411,臺北市公共運輸處,路線、營業站對應,101,"Id	主索引
OrganizationId	營業站 ID
PathAttributeId	附屬路線 ID
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"Id	主索引
OrganizationId	營業站 ID
PathAttributeId	附屬路線 ID
"
412,臺北市公共運輸處,定點車機資訊,101,"StationID	該車輛所屬之場站代碼
CarType	車輛類型：0：一般、1：低底盤、2：大復康巴士、3：圓仔公車
BusID	公車車牌號碼
ProviderID	公車業者代碼
CarID	公車代碼
DutyStatus	勤務狀態 （0：正常、1：開始、2：結束）
BusStatus	行車狀態 （0：正常、1：車禍、2：故障、3：塞車、4：緊急求援、5：加油、99：非營運狀態）
RouteID	服務路線代碼(附屬路線 ID)
GoBack	去返程 （0：去程、1：回程、2：未知）
StopID	公車所在位置之站牌代碼
CarOnStop	到離站狀態 （0：進站、1：離站）
DataTime	本筆資料觸發時間
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"StationID	該車輛所屬之場站代碼
CarType	車輛類型：0：一般、1：低底盤、2：大復康巴士、3：圓仔公車
BusID	公車車牌號碼
ProviderID	公車業者代碼
CarID	公車代碼
DutyStatus	勤務狀態 （0：正常、1：開始、2：結束）
BusStatus	行車狀態 （0：正常、1：車禍、2：故障、3：塞車、4：緊急求援、5：加油、99：非營運狀態）
RouteID	服務路線代碼(附屬路線 ID)
GoBack	去返程 （0：去程、1：回程、2：未知）
StopID	公車所在位置之站牌代碼
CarOnStop	到離站狀態 （0：進站、1：離站）
DataTime	本筆資料觸發時間
"
413,臺北市公共運輸處,定時車機資訊,101,"StationID	該車輛所屬之場站代碼
CarType	車輛類型：0：一般、1：低底盤、2：大復康巴士、3：圓仔公車
BusID	公車車牌號碼
ProviderID	公車業者代碼
CarID	公車代碼
DutyStatus	勤務狀態 （0：正常、1：開始、2：結束）
BusStatus	行車狀態 （0：正常、1：車禍、2：故障、3：塞車、4：緊急求援、5：加油、99：非營運狀態）
RouteID	服務路線代碼(附屬路線 ID)
GoBack	去返程 （0：去程、1：回程、2：未知）
Longitude	經度 / X 座標
Latitude	緯度 / Y 座標
Speed	GPS 速度（Km/Hr）
Azimuth	行車方位角
DataTime	本筆資料觸發時間
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"StationID	該車輛所屬之場站代碼
CarType	車輛類型：0：一般、1：低底盤、2：大復康巴士、3：圓仔公車
BusID	公車車牌號碼
ProviderID	公車業者代碼
CarID	公車代碼
DutyStatus	勤務狀態 （0：正常、1：開始、2：結束）
BusStatus	行車狀態 （0：正常、1：車禍、2：故障、3：塞車、4：緊急求援、5：加油、99：非營運狀態）
RouteID	服務路線代碼(附屬路線 ID)
GoBack	去返程 （0：去程、1：回程、2：未知）
Longitude	經度 / X 座標
Latitude	緯度 / Y 座標
Speed	GPS 速度（Km/Hr）
Azimuth	行車方位角
DataTime	本筆資料觸發時間
"
414,臺北市公共運輸處,車機異常資訊,101,"BusID	車輛代碼
StatusCode	""異常狀態代碼(0 正常、1：斷線、2：LED 顯示器斷線 3：異常停留、4：路線外營運)""

每筆資訊若無更新會保留二十分鐘	
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"BusID	車輛代碼
StatusCode	""異常狀態代碼(0 正常、1：斷線、2：LED 顯示器斷線 3：異常停留、4：路線外營運)""

每筆資訊若無更新會保留二十分鐘	
"
415,臺北市公共運輸處,車輛基本資訊,101,"BusId	主索引/查詢代碼
CarNum	牌照號碼
CarType	車輛類型：0：一般、1：低底盤、2：大復康巴士、3：圓仔公車
IboxId	車機 ID
StationId	所屬營業站 ID (調度站 ID)
PathAttributeId	所屬附屬路線 ID
BuildPeriod	建置時間，分為 1：1 期、2：2 期、3：3 期、9：非動態資料、10：北 縣
Ctime	建立時間
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"BusId	主索引/查詢代碼
CarNum	牌照號碼
CarType	車輛類型：0：一般、1：低底盤、2：大復康巴士、3：圓仔公車
IboxId	車機 ID
StationId	所屬營業站 ID (調度站 ID)
PathAttributeId	所屬附屬路線 ID
BuildPeriod	建置時間，分為 1：1 期、2：2 期、3：3 期、9：非動態資料、10：北 縣
Ctime	建立時間
"
416,臺北市公共運輸處,智慧型站牌所屬路線,101,"Id	主索引
IStopId	路線設定名稱
PathId	路線編號
StopId	站牌編號
Sequence	路線顯示之順序
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"Id	主索引
IStopId	路線設定名稱
PathId	路線編號
StopId	站牌編號
Sequence	路線顯示之順序
"
417,臺北市公共運輸處,站位資訊,101,"id	主索引
name	站位名稱
address	站址
lon	經度
lat	緯度
version	系統碼
每筆資訊若無更新會保留二十分鐘	
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"id	主索引
name	站位名稱
address	站址
lon	經度
lat	緯度
version	系統碼
每筆資訊若無更新會保留二十分鐘	
"
